index,Full_name,Nationality,is_ovr,Overall,Potential,Age,Position,is_time,played_time
350,Mikkel Damsgaard,Denmark,1,76,85,21,CAM,1,434
351,Christian Nørgaard,Denmark,1,76,76,28,CDM,1,353
352,Oliver Christensen,Denmark,1,70,78,23,GK,0,0
353,Jens Stryger Larsen,Denmark,1,75,75,31,RB,1,306
354,Daniel Wass,Denmark,1,79,79,33,CM,1,689
355,Jonas Wind,Denmark,1,76,82,23,ST,1,261
356,Yussuf Poulsen,Denmark,1,77,77,28,ST,1,524
357,Andreas Cornelius,Denmark,1,75,75,29,ST,1,111
358,Frederik Rønnow,Denmark,0,0,0,0,0,0,0
359,Pierre-Emile Højbjerg,Denmark,1,83,85,26,CDM,1,508
360,Robert Skov,Denmark,1,74,75,26,RW,1,44
361,Jesper Lindstrøm,Denmark,1,75,84,22,CAM,1,57
362,Alexander Bah,Denmark,1,78,82,24,RB,1,9
363,Hugo Lloris,France,1,87,87,35,GK,1,720
364,Benjamin Pavard,France,1,79,81,26,CB,1,235
365,Axel Disasi,France,1,77,82,24,CB,0,0
366,Raphaël Varane,France,1,84,85,29,CB,1,360
367,Jules Koundé,France,1,84,89,23,CB,1,198
368,Matteo Guendouzi,France,0,0,0,0,0,0,0
369,Antoine Griezmann,France,1,83,83,31,CAM,1,652
370,Aurélien Tchouaméni,France,1,82,89,22,CDM,1,236
371,Olivier Giroud,France,1,82,82,35,ST,1,94
372,Kylian Mbappé,France,1,91,95,23,ST,1,466
373,Ousmane Dembélé,France,1,83,86,25,LM,1,117
374,Randal Kolo Muani,France,1,78,84,23,ST,0,0
375,Youssouf Fofana,France,1,79,84,23,CDM,0,0
376,Adrien Rabiot,France,1,80,81,27,CM,1,567
377,Jordan Veretout,France,1,79,79,29,CDM,1,64
378,Steve Mandanda,France,1,79,79,37,GK,1,0
379,William Saliba,France,1,80,87,21,CB,1,121
380,Dayot Upamecano,France,1,81,87,23,CB,1,180
381,Kingsley Coman,France,1,86,87,26,LM,1,312
382,Lucas Hernandez,France,0,0,0,0,0,0,0
383,Theo Hernandez,France,0,0,0,0,0,0,0
384,Alphonse Areola,France,1,81,82,29,GK,1,0
385,Ibrahima Konaté,France,1,81,88,23,CB,0,0
386,Eduardo Camavinga,France,1,79,89,19,CDM,0,0
